Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,15.970000,16.030001,15.380000,15.490000,14.375418,1335400
2023-01-04,15.720000,16.000000,15.630000,15.780000,14.644549,1394400
2023-01-05,15.740000,15.740000,15.330000,15.400000,14.291888,1378800
2023-01-06,15.450000,15.750000,15.450000,15.570000,14.449658,1232600
2023-01-09,15.540000,15.690000,15.520000,15.620000,14.496060,1308800
2023-01-10,15.570000,16.010000,15.540000,16.010000,14.857999,1154100
2023-01-11,16.059999,16.610001,16.059999,16.610001,15.414827,2216000
2023-01-12,16.600000,16.830000,16.570000,16.700001,15.498350,1328800
2023-01-13,16.590000,16.650000,16.410000,16.490000,15.303460,942500
2023-01-17,16.570000,16.770000,16.549999,16.770000,15.563312,870600
2023-01-18,16.730000,16.780001,16.370001,16.469999,15.284901,1135200
2023-01-19,16.350000,16.549999,16.346001,16.530001,15.340583,717400
2023-01-20,16.639999,16.940001,16.410000,16.920000,15.702518,1136600
2023-01-23,16.950001,17.260000,16.865000,17.260000,16.018053,906000
2023-01-24,17.240000,17.309999,17.000000,17.280001,16.036615,774400
2023-01-25,17.200001,17.400000,17.139999,17.370001,16.120138,1188100
2023-01-26,17.469999,17.580000,17.290001,17.459999,16.203665,914000
2023-01-27,17.440001,17.695000,17.440001,17.629999,16.361433,1198300
2023-01-30,17.480000,17.596001,17.320000,17.400000,16.221590,1330600
2023-01-31,17.430000,17.815001,17.350000,17.730000,16.529238,1403000
2023-02-01,17.680000,18.014999,17.514999,17.870001,16.659763,1387600
2023-02-02,18.000000,18.219999,17.825001,18.010000,16.790279,1644500
2023-02-03,17.840000,18.000000,17.760000,17.830000,16.622467,1225100
2023-02-06,17.680000,17.799999,17.410000,17.559999,16.370752,1146100
2023-02-07,17.450001,17.809999,17.360001,17.760000,16.557209,3289000
2023-02-08,17.559999,17.850000,17.405001,17.510000,16.324142,1642400
2023-02-09,17.600000,17.690001,17.309999,17.360001,16.184299,1357200
2023-02-10,17.299999,17.340000,16.975000,17.049999,15.895293,1791600
2023-02-13,17.049999,17.570000,16.980000,17.570000,16.380075,1686900
2023-02-14,17.459999,17.790001,17.350000,17.600000,16.408045,1674200
2023-02-15,17.490000,17.785000,17.480000,17.700001,16.501272,1169900
2023-02-16,17.389999,17.520000,17.105000,17.180000,16.016493,1869600
2023-02-17,17.209999,17.230000,16.900000,17.010000,15.858004,1415900
2023-02-21,16.799999,16.924999,16.504999,16.670000,15.541029,1720600
2023-02-22,16.549999,16.855000,16.200001,16.610001,15.485091,2436600
2023-02-23,16.700001,16.965000,16.525000,16.920000,15.774097,1107100
2023-02-24,16.700001,16.790001,16.530001,16.680000,15.550351,1672500
2023-02-27,16.840000,16.955000,16.639999,16.639999,15.587820,1797400
2023-02-28,16.680000,16.915001,16.500000,16.510000,15.466043,1949100
2023-03-01,16.610001,16.934999,16.459999,16.820000,15.756438,2041000
2023-03-02,16.750000,16.915001,16.639999,16.830000,15.765805,920700
2023-03-03,16.940001,17.100000,16.825001,16.900000,15.831384,1252300
2023-03-06,17.010000,17.010000,16.629999,16.740000,15.681499,1144200
2023-03-07,16.760000,16.799999,16.372000,16.490000,15.447309,1001100
2023-03-08,16.530001,16.625000,16.410000,16.580000,15.531616,1144700
2023-03-09,16.610001,16.610001,15.760000,15.790000,14.791571,1387200
2023-03-10,15.750000,15.790000,15.330000,15.510000,14.529276,2339100
2023-03-13,15.290000,15.505000,15.090000,15.330000,14.360655,2555800
2023-03-14,15.730000,15.800000,15.270000,15.440000,14.463698,2319900
2023-03-15,15.050000,15.430000,15.010000,15.320000,14.351288,2268100
2023-03-16,15.120000,15.465000,15.020000,15.190000,14.229507,2095300
2023-03-17,15.230000,15.230000,14.665000,14.800000,13.864169,3404700
2023-03-20,14.940000,15.195000,14.850000,15.100000,14.145200,1662200
2023-03-21,15.310000,15.410000,14.995000,15.010000,14.060890,3581600
2023-03-22,14.570000,14.680000,14.100000,14.130000,13.236533,2801100
2023-03-23,14.170000,14.360000,13.850000,13.850000,12.974239,1680000
2023-03-24,13.690000,14.130000,13.660000,14.060000,13.170962,2626300
2023-03-27,14.290000,14.380000,14.120000,14.230000,13.330211,2169500
2023-03-28,14.070000,14.435000,14.035000,14.410000,13.498829,2495000
2023-03-29,14.590000,14.930000,14.555000,14.880000,13.939109,2530700
2023-03-30,15.150000,15.155000,14.940000,15.070000,14.193405,1691300
2023-03-31,15.220000,15.540000,15.185000,15.520000,14.617229,1696500
2023-04-03,15.490000,15.710000,15.375000,15.510000,14.607811,1629000
2023-04-04,15.570000,15.620000,15.230000,15.430000,14.532466,985400
2023-04-05,15.290000,15.390000,15.190000,15.290000,14.400605,1329500
2023-04-06,15.430000,15.445000,15.240000,15.360000,14.466536,1044500
2023-04-10,15.360000,15.500000,15.245000,15.400000,14.504209,1358600
2023-04-11,15.490000,15.660000,15.460000,15.540000,14.636064,1719900
2023-04-12,15.700000,15.730000,15.400000,15.400000,14.504209,2231200
2023-04-13,15.430000,15.740000,15.400000,15.670000,14.758505,1747800
2023-04-14,15.700000,15.830000,15.475000,15.640000,14.730249,1492500
2023-04-17,15.640000,16.025000,15.575000,16.010000,15.078728,3010100
2023-04-18,15.990000,16.105000,15.765000,15.900000,14.975124,1783200
2023-04-19,15.830000,15.889000,15.535000,15.670000,14.758505,2039400
2023-04-20,15.580000,15.615000,15.260000,15.410000,14.513627,3897900
2023-04-21,15.460000,15.460000,15.175000,15.430000,14.532466,2663000
2023-04-24,15.360000,15.465000,15.190000,15.380000,14.485373,2703000
2023-04-25,15.260000,15.300000,14.875000,14.940000,14.070967,1804000
2023-04-26,14.900000,15.070000,14.750000,14.790000,13.929692,1337200
2023-04-27,14.720000,14.795000,14.605000,14.720000,13.939162,1923100
2023-04-28,14.670000,15.050000,14.630000,14.890000,14.100144,1707800
2023-05-01,14.860000,15.130000,14.800000,14.870000,14.081204,1811000
2023-05-02,14.750000,14.840000,14.455000,14.670000,13.891813,1928300
2023-05-03,15.070000,15.450000,14.790000,15.080000,14.280065,2223400
2023-05-04,15.080000,15.345000,14.860000,15.150000,14.346350,1637600
